考点ID,版本ID,学段,L1(范围),L2(模块),L3(主题),L4(原子考点),是否启用学段版本,适用学段,版本语义描述,挂载知识点(必要),挂载知识点(可选),依赖强度,策略前置,教材版本,年级,学期,单元序号,单元名称,小节序号,小节名称,主思想ID,次要思想ID,考法本体UI,核心算力要求,次要算力/变式方向,D1核心数学模型,D2思维路径,I信息隐蔽度,C考点复合度,Ch认知通道
KF-0016,中年级,课内,数与代数,数的认识,读写时要读几个零,亿以内数的一般读法、亿以内数的一般写法(L4),ID-202 [算理转化],,纯文本/算式,KP-0226|KP-0230,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-901,,纯文本/算式,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0017,中年级,课内,数与代数,数的改写,低级单位改高级单位,整万数的改写、整亿数的改写(L1),ID-202 [算理转化],,纯文本/算式,KP-0234|KP-0240,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-901,,纯文本/算式,ALG_L1,,NUMBER_SYSTEM,D1_FORWARD_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0018,中年级,课内,数与代数,数的改写,高级单位改低级单位,整万数的改写、整亿数的改写(L1),ID-202 [算理转化],,纯文本/算式,KP-0234|KP-0240,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-901,,纯文本/算式,ALG_L1,,NUMBER_SYSTEM,D1_FORWARD_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0019,KF-0019-V1,中年级,课内,数与代数,数的性质,已知近似数求原数范围(整数),是,4,整数近似值的范围推断:四舍五入规则逆向,KP-0235,,0.90,reverse_approximation:KF-0019-V1,人教版,4,上,1,大数的认识,4,非整万数求近似数,ID-602,,纯文本/算式,ALG_L3,多步倒推|边界值判断,NUMBER_SYSTEM,D4_REVERSE_MULTI,I0_RAW,C1_SINGLE,Ch-A
KF-0019,KF-0019-V2,中年级,课内,数与代数,数的性质,已知近似数求原数范围(小数),是,4,5,小数近似值的范围推断:精度控制规则逆向,KP-0273,,0.90,reverse_approximation:KF-0019-V1,人教版,4,下,4,小数的意义和性质,5,求小数的近似数,ID-602,,纯文本/算式,ALG_L3,多步倒推|保留位数理解,NUMBER_SYSTEM,D4_REVERSE_MULTI,I0_RAW,C1_SINGLE,Ch-A
KF-0020,中年级,课内,数与代数,数的性质,求一个数的因数(列举法),求一个数的因数的方法、因数与倍数的概念(L2),ID-901 [组合枚举],,纯文本/算式,KP-0340|KP-0339,从结果反推,,,,,,,,,,ID-901,,纯文本/算式,ALG_L2,,NUMBER_SYSTEM,D2_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0021,中年级,课内,数与代数,数的性质,奇偶性的简单运用,奇数与偶数的概念、2的倍数特征(L4),ID-901 [组合枚举],,纯文本/算式,KP-0349|KP-0342,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-901,,纯文本/算式,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0022,中年级,课内,数与代数,四则运算,四则混合运算(含括号三步以上),含小括号的混合运算、含中括号的三步混合运算(L2),ID-202 [算理转化],,纯文本/算式,KP-0100|KP-0337,从结果反推,,,,,,,,,,ID-202,,纯文本/算式,ALG_L2,,PART_WHOLE,D2_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0023,中年级,课内,数与代数,运算规律,加法交换律与结合律简算,加法交换律、加法结合律运算(L2),ID-202 [算理转化],,纯文本/算式,KP-0255|KP-0256,从结果反推; 逆用运算律,,,,,,,,,,ID-202,,纯文本/算式,ALG_L2,,EQUAL_GROUP,D2_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0024,中年级,课内,数与代数,运算规律,乘法分配律简算,乘法分配律、乘法结合律运算(L2),ID-202 [算理转化],,纯文本/算式,KP-0260|KP-0259,从结果反推; 逆用运算律,,,,,,,,,,ID-202,,纯文本/算式,ALG_L2,,EQUAL_GROUP,D2_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0025,中年级,课内,数与代数,运算规律,乘法分配律反向简算(提取公因数),乘法分配律运算(L3),ID-202 [算理转化],,纯文本/算式,KP-0260,多步倒推; 逆用运算律,,,,,,,,,,ID-202,,纯文本/算式,ALG_L3,,EQUAL_GROUP,D2_REVERSE_SINGLE,I0_RAW,C1_SINGLE,Ch-A
KF-0026,中年级,课内,数与代数,运算规律,积的变化规律,积的变化规律、积的变化规律运算(L1),ID-202 [算理转化],,纯文本/算式,KP-0246|KP-0247,已知结果反求条件; 串联两步计算; 逆用运算律,,,,,,,,,,ID-202,,纯文本/算式,ALG_L1,,EQUAL_GROUP,D1_FORWARD_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0027,中年级,课内,数与代数,运算规律,商不变规律,商不变的规律运算(L1),ID-202 [算理转化],,纯文本/算式,KP-0253,已知结果反求条件; 串联两步计算; 逆用运算律,,,,,,,,,,ID-202,,纯文本/算式,ALG_L1,,EQUAL_GROUP,D1_FORWARD_SINGLE,I0_RAW,C1_SINGLE,Ch-A
KF-0028,KF-0028-V1,低年级,课内,典型应用题,现实约束问题,进一法(租船装箱类),是,1,2,有余数除法的生活应用:买东西不能少付需多算一份,KP-0123|KP-0125,,0.95|0.90,ceiling_strategy:KF-0028-V1,人教版,2,下,6,有余数的除法,3,有余数除法的现实约束,ID-602,,生活情境,ALG_L2,直接给出隐含条件; 加入无关数据,OPTIMIZATION,D2_FORWARD_MULTI,I2_HIDDEN,C2_INTRA_MODULE,Ch-A
KF-0028,KF-0028-V2,高年级,课内,典型应用题,现实约束问题,进一法(精度控制),是,5,6,小数除法的精度控制:保留n位小数时向上取整,KP-0456|KP-0458,KP-0019,0.85|0.90|0.60,ceiling_strategy:KF-0028-V1,人教版,5,上,3,小数除法,4,商的近似值,ID-602,,纯文本/算式,ALG_L3,多步倒推; 循环小数近似,OPTIMIZATION,D4_REVERSE_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0029,KF-0029-V1,低年级,课内,典型应用题,现实约束问题,去尾法(做衣买物类),是,1,2,有余数除法的生活应用:材料不够不能硬做余数舍去,KP-0123|KP-0125,,0.95|0.90,floor_strategy:KF-0029-V1,人教版,2,下,6,有余数的除法,3,有余数除法的现实约束,ID-602,,生活情境,ALG_L2,直接给出隐含条件; 加入无关数据,OPTIMIZATION,D2_FORWARD_MULTI,I2_HIDDEN,C2_INTRA_MODULE,Ch-A
KF-0029,KF-0029-V2,高年级,课内,典型应用题,现实约束问题,去尾法(精度控制),是,5,6,小数除法的精度控制:保留n位小数时向下取整,KP-0456|KP-0458,KP-0019,0.85|0.90|0.60,floor_strategy:KF-0029-V1,人教版,5,上,3,小数除法,4,商的近似值,ID-602,,纯文本/算式,ALG_L3,多步倒推; 循环小数近似,OPTIMIZATION,D4_REVERSE_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0030,中年级,课内,典型应用题,归一归总问题,正归一(先求单一量再求总),归一问题、求倍数关系(L2),ID-103 [单总对应],,纯文本/算式,KP-0174|KP-0158,从结果反推,,,,,,,,,,ID-103,,纯文本/算式,ALG_L2,,EQUAL_GROUP,D2_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0031,中年级,课内,典型应用题,归一归总问题,反归一(先求单一量再求份数),归一问题、求总数关系(L4),ID-103 [单总对应],ID-701 [步骤倒推],纯文本/算式,KP-0174|KP-0159,加入过程变化,,,,,,,,,,ID-103,,纯文本/算式,ALG_L4,,EQUAL_GROUP,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0032,中年级,课内,典型应用题,和差倍问题,和倍问题(已知和与倍数),倍的直观概念、合并模型等(L4),ID-402 [线段图模],,纯文本/算式,KP-0157|KP-0044|KP-0158,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-402,,纯文本/算式,ALG_L4,,CHANGE,D3_FORWARD_MULTI,I0_RAW,C3_CROSS_MODULE,Ch-A
KF-0033,中年级,课内,典型应用题,和差倍问题,差倍问题(已知差与倍数),倍的直观概念、比多比少问题等(L4),ID-402 [线段图模],,纯文本/算式,KP-0157|KP-0085|KP-0158,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-402,,纯文本/算式,ALG_L4,,CHANGE,D3_FORWARD_MULTI,I0_RAW,C3_CROSS_MODULE,Ch-A
KF-0034,中年级,课内,典型应用题,和差倍问题,和差问题(已知和与差),和差问题、比多比少问题等(L2),ID-501 [等量代换]; ID-402 [线段图模],,纯文本/算式,KP-0156|KP-0083|KP-0084,从结果反推,,,,,,,,,,ID-402,,纯文本/算式,ALG_L2,,CHANGE,D2_FORWARD_MULTI,I0_RAW,C3_CROSS_MODULE,Ch-A
KF-0035,KF-0035-V1,低年级,课内,数与代数,竖式计算,加法竖式(逆向填空),是,2,两位数加法的基础进位,KP-0075,,0.95,reverse_calculation:KF-0035-V1,人教版,2,上,1,100以内的加法和减法,1,两位数加一位数和整十数(进位),ID-202,ID-901,纯文本/算式,ALG_L3,多步倒推,PART_WHOLE,D4_REVERSE_MULTI,I0_RAW,C1_SINGLE,Ch-A
KF-0035,KF-0035-V2,中年级,课内,数与代数,竖式计算,加法竖式(逆向填空-连续进位),是,3,4,三位数加法的连续进位推理,KP-0114,,0.95,reverse_calculation:KF-0035-V1,人教版,3,上,2,万以内的加法和减法,1,三位数加三位数(连续进位),ID-202,ID-901,纯文本/算式,ALG_L4,多步倒推|枚举组合,PART_WHOLE,D4_REVERSE_MULTI,I0_RAW,C1_SINGLE,Ch-A
KF-0036,KF-0036-V1,低年级,课内,数与代数,竖式计算,减法竖式(逆向填空),是,2,两位数减法的基础退位,KP-0076,,0.95,reverse_calculation:KF-0036-V1,人教版,2,上,1,100以内的加法和减法,2,两位数减一位数和整十数(退位),ID-202,ID-901,纯文本/算式,ALG_L3,多步倒推,PART_WHOLE,D4_REVERSE_MULTI,I0_RAW,C1_SINGLE,Ch-A
KF-0036,KF-0036-V2,中年级,课内,数与代数,竖式计算,减法竖式(逆向填空-连续退位),是,3,4,三位数减法的连续退位推理,KP-0115,,0.95,reverse_calculation:KF-0036-V1,人教版,3,上,2,万以内的加法和减法,2,三位数减三位数(连续退位),ID-202,ID-901,纯文本/算式,ALG_L4,多步倒推|枚举组合,PART_WHOLE,D4_REVERSE_MULTI,I0_RAW,C1_SINGLE,Ch-A
KF-0037,KF-0037-V1,低年级,课内,数与代数,竖式计算,乘法竖式(逆向填空),是,2,3,两位数乘法的基础进位,KP-0146,,0.95,reverse_calculation:KF-0037-V1,人教版,2,下,6,表内乘法与除法,3,两位数乘一位数(进位),ID-202,ID-901|ID-701,纯文本/算式,ALG_L4,加入过程变化,EQUAL_GROUP,D4_REVERSE_MULTI,I3_DYNAMIC,C1_SINGLE,Ch-A
KF-0037,KF-0037-V2,中年级,课内,数与代数,竖式计算,乘法竖式(逆向填空-多位数),是,3,4,多位数乘法的连续进位推理,KP-0147,,0.95,reverse_calculation:KF-0037-V1,人教版,3,下,3,多位数乘一位数,2,多位数乘一位数(连续进位),ID-202,ID-701|ID-901,纯文本/算式,ALG_L5,加入过程变化|多步倒推,EQUAL_GROUP,D4_REVERSE_MULTI,I3_DYNAMIC,C1_SINGLE,Ch-A
KF-0038,KF-0038-V1,低年级,课内,数与代数,竖式计算,除法竖式(逆向填空),是,3,除法竖式的基础填空,KP-0162,,0.95,reverse_calculation:KF-0038-V1,人教版,3,上,4,两位数除以一位数,2,除数是两位数(商是两位数),ID-202,ID-901|ID-701,纯文本/算式,ALG_L4,加入过程变化,EQUAL_GROUP,D4_REVERSE_MULTI,I3_DYNAMIC,C1_SINGLE,Ch-A
KF-0038,KF-0038-V2,中年级,课内,数与代数,竖式计算,除法竖式(逆向填空-商中有0),是,4,除法竖式商中有0的复杂推理,KP-0163,,0.95,reverse_calculation:KF-0038-V1,人教版,4,上,3,除数是两位数,3,商中间或末尾有0的除法,ID-202,ID-701|ID-901,纯文本/算式,ALG_L5,加入过程变化|多步倒推,EQUAL_GROUP,D4_REVERSE_MULTI,I3_DYNAMIC,C1_SINGLE,Ch-A
KF-0039,高年级,课内,数与代数,数的认识,正负数在温度中的应用,正负数的意义与读写(L3),ID-401 [图解算理],,图文结合,KP-0435,纯数值计算; 图中信息不完整,,,,,,,,,,ID-901,,纯文本/算式,ALG_L3,,NUMBER_SYSTEM,D2_REVERSE_SINGLE,I0_RAW,C1_SINGLE,Ch-A
KF-0040,高年级,课内,数与代数,数的认识,正负数在收支中的应用,正负数的意义与读写(L2),ID-203 [模型转化],,纯文本/算式,KP-0435,从结果反推,,,,,,,,,,ID-901,,纯文本/算式,ALG_L2,,NUMBER_SYSTEM,D2_FORWARD_MULTI,I0_RAW,C1_SINGLE,Ch-A
KF-0041,高年级,课内,数与代数,数的认识,数轴上的负数与相反数,数轴上的正负数、正负数的意义与读写(L3),ID-401 [图解算理],,图文结合,KP-0436|KP-0435,纯数值计算; 图中信息不完整,,,,,,,,,,ID-901,,纯文本/算式,ALG_L3,,NUMBER_SYSTEM,D2_REVERSE_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0042,高年级,课内,数与代数,数的性质,已知两个质数的和或积求这两个质数,质数与合数的概念、分解质因数(L4),ID-901 [组合枚举],ID-701 [步骤倒推],纯文本/算式,KP-0345|KP-0346,加入过程变化,,,,,,,,,,ID-901,,纯文本/算式,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0043,高年级,课内,数与代数,式与方程,用字母表示运算律,用字母表示数量关系、加法交换律等(L1),ID-502 [设元列式],,纯文本/算式,KP-0326|KP-0255|KP-0260,已知结果反求条件; 串联两步计算,,,,,,,,,,ID-502,,纯文本/算式,ALG_L1,,PART_WHOLE,D1_FORWARD_SINGLE,I0_RAW,C3_CROSS_MODULE,Ch-A
KF-0044,高年级,课内,数与代数,式与方程,列方程解应用题(一元一次),解形如ax±b=c的方程、用字母表示数量关系(L3),ID-502 [设元列式],,纯文本/算式,KP-0335|KP-0326,多步倒推,,,,,,,,,,ID-502,,纯文本/算式,ALG_L3,,CHANGE,D2_REVERSE_SINGLE,I0_RAW,C2_INTRA_MODULE,Ch-A
KF-0045,高年级,课内,数与代数,式与方程,用方程解行程问题,解形如ax±b=c的方程、行程问题基本数量关系等(L4),ID-502 [设元列式],,生活情境,KP-0335|KP-0466|KP-0326,直接给出隐含条件; 加入无关数据,,,,,,,,,,ID-203,,生活情境,ALG_L4,,CHANGE,D3_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0046,高年级,课内,典型应用题,分数应用题,求一个数是另一个数的几分之几,分数的意义、分数与除法的关系(多步综合L4),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0353|KP-0355,直接给出隐含条件; 加入无关数据; 分数+比例混合,,,,,,,,,,ID-101,,生活情境,ALG_L4,,RATIO,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0047,高年级,课内,典型应用题,分数应用题,求一个数的几分之几是多少,求一个数的几分之几是多少、分数乘整数的计算等(基础应用L1),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0410|KP-0401|KP-0403,已知结果反求条件; 串联两步计算; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L1,,RATIO,D1_FORWARD_SINGLE,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0048,高年级,课内,典型应用题,分数应用题,已知一个数的几分之几求这个数,已知几分之几求单位1、寻找单位1的方法等(逆向求解L3),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0411|KP-0354|KP-0421,多步倒推; 单位1需辨析,,,,,,,,,,ID-701,,生活情境,ALG_L3,,RATIO,D2_REVERSE_SINGLE,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0049,高年级,课内,典型应用题,分数应用题,比多比少问题(分率),比一个数多几分之几是多少、寻找单位1的方法(多步综合L4),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0495|KP-0354,直接给出隐含条件; 加入无关数据; 分数+比例混合,,,,,,,,,,ID-101,,生活情境,ALG_L4,,RATIO,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0050,高年级,课内,典型应用题,分数应用题,求比一个数多几分之几的数,比一个数多几分之几是多少、分数乘分数的计算(基础应用L2),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0495|KP-0403,从结果反推; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L2,,RATIO,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0051,高年级,课内,典型应用题,分数应用题,求比一个数少几分之几的数,比一个数多几分之几是多少、分数乘分数的计算(基础应用L2),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0495|KP-0403,从结果反推; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L2,,RATIO,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0052,高年级,课内,典型应用题,分数应用题,已知比一个数多(少)几分之几的数求这个数,已知比一个数多几分之几或少几分之几求单位1、寻找单位1的方法(多步综合L4),ID-101 [量率对应],ID-402 [线段图模]; ID-701 [步骤倒推],纯文本/算式,KP-0496|KP-0354,加入过程变化; 单位1需辨析,,,,,,,,,,ID-701,,生活情境,ALG_L4,,RATIO,D3_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0053,高年级,课内,典型应用题,分数应用题,用分数的意义解决问题(a÷m×n),分数乘分数的意义、分数与除法的关系(基础应用L2),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0402|KP-0355,从结果反推; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L2,,RATIO,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0054,高年级,课内,典型应用题,分数应用题,转化单位1问题(多对象切换),寻找单位1的方法、分数中的量与率辨析(基础应用L2),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0354|KP-0412,从结果反推; 分数+比例混合,,,,,,,,,,ID-101,,生活情境,ALG_L2,,RATIO,D2_FORWARD_MULTI,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0055,高年级,课内,典型应用题,分数应用题,统一单位1问题(总量不变),寻找单位1的方法、分数中的量与率辨析等(多步综合L4),ID-101 [量率对应],ID-402 [线段图模]; ID-701 [步骤倒推],纯文本/算式,KP-0354|KP-0412|KP-0370,加入过程变化; 分数+比例混合,,,,,,,,,,ID-101,,生活情境,ALG_L4,,RATIO,D3_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0056,高年级,课内,典型应用题,分数应用题,统一单位1问题(总量变化),寻找单位1的方法、分数中的量与率辨析等(多步综合L4),ID-101 [量率对应],ID-402 [线段图模]; ID-701 [步骤倒推],纯文本/算式,KP-0354|KP-0412|KP-0370,加入过程变化; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L4,,RATIO,D3_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0057,高年级,课内,典型应用题,百分数应用题,求一个数的百分之几是多少,百分数的意义与读写、百分数与小数的互化(基础应用L1),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0427|KP-0428,已知结果反求条件; 串联两步计算; 单位1需辨析,,,,,,,,,,ID-202,,生活情境,ALG_L1,,NUMBER_SYSTEM,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0058,高年级,课内,典型应用题,百分数应用题,求一个数是另一个数的百分之几,百分数的意义与读写、分数与除法的关系(基础应用L1),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0427|KP-0355,已知结果反求条件; 串联两步计算; 单位1需辨析,,,,,,,,,,ID-101,,生活情境,ALG_L1,,NUMBER_SYSTEM,D1_FORWARD_SINGLE,I1_SHALLOW,C2_INTRA_MODULE,Ch-A
KF-0059,高年级,课内,典型应用题,百分数应用题,已知一个数的百分之几求这个数,百分数的意义与读写、已知几分之几求单位1等(逆向求解L3),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0427|KP-0411|KP-0354,多步倒推; 单位1需辨析,,,,,,,,,,ID-701,,生活情境,ALG_L3,,NUMBER_SYSTEM,D2_REVERSE_SINGLE,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0060,高年级,课内,典型应用题,百分数应用题,先涨后降问题(单位1两次变化),百分数的意义与读写、寻找单位1的方法等(多步综合L4),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0427|KP-0354|KP-0403,直接给出隐含条件; 加入无关数据; 分数+比例混合,,,,,,,,,,ID-101,,生活情境,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
KF-0061,高年级,课内,典型应用题,百分数应用题,先降后涨问题(单位1两次变化),百分数的意义与读写、寻找单位1的方法等(多步综合L4),ID-101 [量率对应],ID-402 [线段图模],纯文本/算式,KP-0427|KP-0354|KP-0403,直接给出隐含条件; 加入无关数据; 分数+比例混合,,,,,,,,,,ID-101,,生活情境,ALG_L4,,NUMBER_SYSTEM,D3_FORWARD_MULTI,I1_SHALLOW,C3_CROSS_MODULE,Ch-A
